, command: ./nn_setup --benchmark -numdevices=1 -i=1 --profile-from-start off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
==31955== Profiling result:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.76238s  269.73us           (1025 1 1)       (512 1 1)        27        0B        0B         -           -  Graphics Device         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [1123],,,,,,,,,,,,,,,,,,,,,,,,
2.76266s  12.775ms           (8192 2 1)        (8 32 1)       116  10.496KB        0B         -           -  Graphics Device         1         7  void cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float) [1141]
2.77557s  55.328us            (384 1 1)       (128 1 1)        19        0B        0B         -           -  Graphics Device         1         7  void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int) [1154],,,,,,,,,,,,,,
2.77563s  2.0431ms           (32 1 512)       (256 1 1)        32        0B  4.0960KB         -           -  Graphics Device         1         7  void cudnn::detail::pooling_fw_4d_kernel<float, float, cudnn::detail::maxpooling_func<float>, int=0>(cudnnTensorStruct, float const *, cudnn::detail::pooling_fw_4d_kernel<float, float, cudnn::detail::maxpooling_func<float>, int=0>, cudnnTensorStruct*, cudnnPoolingStruct, float, cudnnPoolingStruct, int, cudnn::reduced_divisor, float) [1167],,,,,,,,,,,,,,,
2.77768s  156.70us              (2 4 1)       (512 1 1)        27        0B        0B         -           -  Graphics Device         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [1177],,,,,,,,,,,,,,,,,,,,,,,,
2.77784s  174.66us            (16 16 1)         (8 8 1)        50  2.3040KB        0B         -           -  Graphics Device         1         7  void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>*, kernel_conv_params, int, int, float, float) [1195]
2.77813s  4.4480us            (512 1 1)       (128 1 1)        19        0B        0B         -           -  Graphics Device         1         7  void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int) [1208],,,,,,,,,,,,,,
2.77816s  10.528us              (2 1 1)       (512 1 1)        27        0B        0B         -           -  Graphics Device         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [1218],,,,,,,,,,,,,,,,,,,,,,,,
2.77821s  36.352us            (16 16 1)         (8 8 1)        50  2.3040KB        0B         -           -  Graphics Device         1         7  void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>*, kernel_conv_params, int, int, float, float) [1236]
2.77828s  3.6480us            (512 1 1)       (128 1 1)        19        0B        0B         -           -  Graphics Device         1         7  void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int) [1249],,,,,,,,,,,,,,
